Day	Month	Year	DoB	Full_name	Gender	Country	National_Party	National_Party_Abbreviation	European_Party_Group	European_Party_Group_Abbreviation
17	12	1966	17.12.66	Elsi Katainen	F	Finland	Centre Party of Finland	Kesk	Renew Europe	RE
14	12	1963	14.12.63	Anna Zalewska	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
24	12	1963	24.12.63	Matteo Adinolfi	M	Italy	League	Lega	Europe of Nations and Freedom	ID
3	1	1964	03.01.64	Clara Eugenia Aguilera García	F	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
14	1	1964	14.01.64	Kosma Tadeusz Złotowski	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
16	1	1964	16.01.64	Helmut Geuking	M	Germany	Family Party	Familie	European Conservatives and Reformists Group	ECR
2	2	1964	02.02.64	Manuel Francisco Pizarro de Sampaio e Castro	M	Portugal	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
18	12	1975	18.12.75	Dragoş Benea	M	Romania	Social Democratic Party	PSD	Progressive Alliance of Socialists and Democrats	SD
				Ellie Chowns	F	United Kingdom	Green Party	Green	Greens-European Free Alliance	Greens-EFA
3	4	1964	03.04.64	Nigel Paul Farage	M	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
21	4	1964	21.04.64	Valentino Grant	M	Italy	League	Lega	Europe of Nations and Freedom	ID
29	4	1964	29.04.64	Jarosław Duda	M	Poland	Civic Platform	PO	European People's Party	EPP
27	5	1964	27.05.64	Elena Yoncheva	F	Bulgaria	Bulgarian Socialist Party	BSP	Progressive Alliance of Socialists and Democrats	SD
12	2	1982	12.02.82	Engin Eroglu	M	Germany	Free Voters	FW	Renew Europe	RE
8	7	1964	08.07.64	Jérôme Rivière	M	France	National Rally	RN	Europe of Nations and Freedom	ID
21	8	1964	21.08.64	Esteban González Pons	M	Spain	People's Party	PP	European People's Party	EPP
19	10	1964	19.10.64	Pierre Larrouturou	M	France	New Deal	ND	Progressive Alliance of Socialists and Democrats	SD
20	10	1987	20.10.87	Erik Marquardt	M	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
24	10	1964	24.10.64	Sabine Verheyen	F	Germany	Christian Democratic Union	CDU	European People's Party	EPP
20	10	1959	20.10.59	Fabienne Keller	F	France	Act	Agir	Renew Europe	RE
14	5	1959	14.05.59	Frédérique Ries	F	Belgium	Reformist Movement	MR	Renew Europe	RE
15	1	1965	15.01.65	Markus Ferber	M	Germany	Christian Social Union	CSU	European People's Party	EPP
6	5	1978	06.05.78	Fredrick Federley	M	Sweden	Centre Party	C	Renew Europe	RE
3	3	1965	03.03.65	Valdemar Tomaševski	M	Lithuania	Electoral Action of Poles in Lithuania	LLRA–KŠS	European Conservatives and Reformists Group	ECR
12	3	1965	12.03.65	Javier Moreno Sánchez	M	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
4	7	1971	04.07.71	Gilles Boyer	M	France	Independent	Ind	Renew Europe	RE
15	5	1965	15.05.65	Martin Sonneborn	M	Germany	The Party	Partei	Non-attached Group	NI
20	5	1965	20.05.65	Peter Liese	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
10	5	1973	10.05.73	Emmanuel Maurel	M	France	Republican and Socialist Left	GRS	European United Left-Nordic Green Left Confederal Group	GUE-NGL
8	9	1965	08.09.65	Veronika Vrecionová	F	Czech Republic	Civic Democratic Party	ODS	European Conservatives and Reformists Group	ECR
11	9	1965	11.09.65	Maria Spyraki	F	Greece	New Democracy	ND	European People's Party	EPP
15	10	1965	15.10.65	Danilo Oscar Lancini	M	Italy	League	Lega	Europe of Nations and Freedom	ID
22	10	1965	22.10.65	Claude Moraes	M	United Kingdom	Labour	Lab	Progressive Alliance of Socialists and Democrats	SD
24	10	1965	24.10.65	Kyriakos Velopoulos	M	Greece	Greek Solution	EL	European Conservatives and Reformists Group	ECR
1	11	1965	01.11.65	Grzegorz Tobiszowski	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
27	1	1982	27.01.82	Ernest Urtasun Domenech	M	Spain	Initiative for Catalonia Greens	ICV	Greens-European Free Alliance	Greens-EFA
2	11	1965	02.11.65	Romana Tomc	F	Slovenia	Slovenian Democratic Party	SDS	European People's Party	EPP
21	11	1965	21.11.65	Rosa Estaràs Ferragut	F	Spain	People's Party	PP	European People's Party	EPP
21	1	1966	21.01.66	Lars Patrick Berg	M	Germany	Alternative for Germany	AfD	Europe of Nations and Freedom	ID
24	1	1966	24.01.66	Evelyn Regner	F	Austria	Social Democratic Party of Austria	SPÖ	Progressive Alliance of Socialists and Democrats	SD
8	2	1966	08.02.66	Sylvia Limmer	F	Germany	Alternative for Germany	AfD	Europe of Nations and Freedom	ID
11	2	1966	11.02.66	Beata Kempa	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
13	3	1966	13.03.66	Luděk Niedermayer	M	Czech Republic	TOP 09	TOP 09	European People's Party	EPP
18	3	1966	18.03.66	Nuno Melo	M	Portugal	CDS - People's Party	CDS-PP	European People's Party	EPP
5	5	1966	05.05.66	Sergei Stanishev	M	Bulgaria	Bulgarian Socialist Party	BSP	Progressive Alliance of Socialists and Democrats	SD
8	5	1966	08.05.66	Massimiliano Smeriglio	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
23	3	1976	23.03.76	Dragoş Nicolae Pîslaru	M	Romania	Freedom, Unity and Solidarity Party	PLUS	Renew Europe	RE
13	5	1966	13.05.66	Karol Karski	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
1	6	1966	01.06.66	Petra Kammerevert	F	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
19	7	1966	19.07.66	Roberto Gualtieri	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
22	7	1966	22.07.66	Harald Vilimsky	M	Austria	Freedom Party of Austria	FPÖ	Europe of Nations and Freedom	ID
27	7	1966	27.07.66	Tamás Deutsch	M	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
22	8	1966	22.08.66	Demetris Papadakis	M	Cyprus	Movement for Social Democracy	EDEK	Progressive Alliance of Socialists and Democrats	SD
11	4	1953	11.04.53	Guy Verhofstadt	M	Belgium	Open Flemish Liberals and Democrats	Open-VLD	Renew Europe	RE
17	10	1966	17.10.66	Hannes Heide	M	Austria	Social Democratic Party of Austria	SPÖ	Progressive Alliance of Socialists and Democrats	SD
12	9	1984	12.09.84	Francisco Guerreiro	M	Portugal	People-Animals-Nature	PAN	Greens-European Free Alliance	Greens-EFA
25	11	1966	25.11.66	Elżbieta Katarzyna Łukacijewska	F	Poland	Civic Platform	PO	European People's Party	EPP
17	12	1966	17.12.66	Maria Arena	F	Belgium	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
2	5	1972	02.05.72	Hilde Vautmans	F	Belgium	Open Flemish Liberals and Democrats	Open-VLD	Renew Europe	RE
2	1	1967	02.01.67	Joanna Kopcińska	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
9	1	1967	09.01.67	Maria Noichl	F	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
27	6	1981	27.06.81	Eugen Tomac	M	Romania	People's Movement Party	PMP	European People's Party	EPP
16	9	1985	16.09.85	Ilhan Kyuchyuk	M	Bulgaria	Movement for Rights and Freedoms	DPS	Renew Europe	RE
27	3	1967	27.03.67	Anna-Michelle Asimakopoulou	F	Greece	New Democracy	ND	European People's Party	EPP
28	3	1967	28.03.67	Róbert Hajšel	M	Slovakia	Direction - Social Democracy	SMER-SD	Progressive Alliance of Socialists and Democrats	SD
14	9	1953	14.09.53	François Alfonsi	M	France	Europe Ecology – The Greens	EELV	Greens-European Free Alliance	Greens-EFA
13	4	1967	13.04.67	Roman Haider	M	Austria	Freedom Party of Austria	FPÖ	Europe of Nations and Freedom	ID
23	4	1967	23.04.67	Paul Tang	M	Netherlands	Labour Party	PvdA	Progressive Alliance of Socialists and Democrats	SD
22	1	1967	22.01.67	Gheorghe Falcă	M	Romania	National Liberal Party	PNL	European People's Party	EPP
26	7	1967	26.07.67	José Manuel Fernandes	M	Portugal	Social Democrat Party	PPD/PSD	European People's Party	EPP
22	11	1981	22.11.81	Franziska Keller	F	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
26	2	1989	26.02.89	Irena Joveva	F	Slovenia	List of Marjan Šarec	LMŠ	Renew Europe	RE
4	8	1967	04.08.67	Christel Schaldemose	F	Denmark	Social Democrats	SD	Progressive Alliance of Socialists and Democrats	SD
1	9	1967	01.09.67	Milan Brglez	M	Slovenia	Social Democrats	SD	Progressive Alliance of Socialists and Democrats	SD
19	10	1967	19.10.67	Beata Mazurek	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
30	10	1967	30.10.67	Elena Lizzi	F	Italy	League	Lega	Europe of Nations and Freedom	ID
13	12	1967	13.12.67	Andrey Kovatchev	M	Bulgaria	GERB	GERB	European People's Party	EPP
17	8	1967	17.08.67	Irène Tolleret	F	France	Independent	Ind	Renew Europe	RE
9	4	1963	09.04.63	Georgios Georgiou	M	Cyprus	Progressive Party of Working People	AKEL	European United Left-Nordic Green Left Confederal Group	GUE-NGL
12	2	1968	12.02.68	Isabel Santos	F	Portugal	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
14	1	1975	14.01.75	Ioan-Dragos Tudorache	M	Romania	Freedom, Unity and Solidarity Party	PLUS	Renew Europe	RE
18	2	1968	18.02.68	Paulo Rangel	M	Portugal	Social Democrat Party	PPD/PSD	European People's Party	EPP
12	3	1968	12.03.68	Pernille Weiss	F	Denmark	Conservative People's Party	DKF	European People's Party	EPP
21	6	1954	21.06.54	Helmut Scholz	M	Germany	The Left	Linke	European United Left-Nordic Green Left Confederal Group	GUE-NGL
17	4	1968	17.04.68	Rosanna Conte	F	Italy	League	Lega	Europe of Nations and Freedom	ID
17	5	1968	17.05.68	Elisabetta Gualmini	F	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
25	5	1968	25.05.68	Fulvio Martusciello	M	Italy	Forward Italy	FI	European People's Party	EPP
17	7	1968	17.07.68	Enikő Győri	F	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
29	7	1968	29.07.68	Christine Anderson	F	Germany	Alternative for Germany	AfD	Europe of Nations and Freedom	ID
15	8	1968	15.08.68	Monika Flašíková-Beňová	F	Slovakia	Direction - Social Democracy	SMER-SD	Progressive Alliance of Socialists and Democrats	SD
16	11	1968	16.11.68	David Casa	M	Malta	Nationalist Party	PN	European People's Party	EPP
19	11	1968	19.11.68	Katarina Barley	F	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
11	9	1967	11.09.67	Irina Von Wiese	F	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
3	12	1968	03.12.68	Asim Ademov	M	Bulgaria	GERB	GERB	European People's Party	EPP
14	3	1964	14.03.64	Iuliu Winkler	M	Romania	Democratic Alliance of Hungarians in Romania	UDMR	European People's Party	EPP
23	1	1969	23.01.69	Jörgen Warborn	M	Sweden	Moderate Party	M	European People's Party	EPP
4	3	1969	04.03.69	Herbert Dorfmann	M	Italy	South Tyrolean People's Party	SVP	European People's Party	EPP
18	3	1969	18.03.69	Marco Dreosto	M	Italy	League	Lega	Europe of Nations and Freedom	ID
30	3	1969	30.03.69	Rosa D'Amato	F	Italy	Five Star Movement	M5S	Europe of Freedom and Direct Democracy Group	EFDD
16	4	1969	16.04.69	Andreas Schieder	M	Austria	Social Democratic Party of Austria	SPÖ	Progressive Alliance of Socialists and Democrats	SD
9	5	1969	09.05.69	David Richard Bull	M	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
20	5	1969	20.05.69	Piernicola Pedicini	M	Italy	Five Star Movement	M5S	Europe of Freedom and Direct Democracy Group	EFDD
25	8	1969	25.08.69	Francesca Donato	F	Italy	League	Lega	Europe of Nations and Freedom	ID
28	8	1969	28.08.69	Raffaele Fitto	M	Italy	Direction Italy	DI	European Conservatives and Reformists Group	ECR
13	9	1969	13.09.69	Lina Gálvez Muñoz	F	Spain	Independent	Ind	Progressive Alliance of Socialists and Democrats	SD
		1962		Gina Dowding	F	United Kingdom	Green Party	Green	Greens-European Free Alliance	Greens-EFA
15	9	1969	15.09.69	Stefan Berger	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
15	9	1969	15.09.69	Mislav Kolakušić	M	Croatia	Independent	Ind	Non-attached Group	NI
17	7	1980	17.07.80	Idoia Villanueva Ruiz	F	Spain	We Can	Podemos	European United Left-Nordic Green Left Confederal Group	GUE-NGL
8	3	1962	08.03.62	Grace O’Sullivan	F	Ireland	Green Party	GP	Greens-European Free Alliance	Greens-EFA
18	11	1969	18.11.69	Kathleen van Brempt	F	Belgium	Socialist Party Differently	sp.a	Progressive Alliance of Socialists and Democrats	SD
7	9	1957	07.09.57	Iskra Mihaylova Koparova	F	Bulgaria	Movement for Rights and Freedoms	DPS	Renew Europe	RE
7	11	1954	07.11.54	Maria Grapini	F	Romania	Social Democratic Party	PSD	Progressive Alliance of Socialists and Democrats	SD
19	1	1970	19.01.70	Guido Reil	M	Germany	Alternative for Germany	AfD	Europe of Nations and Freedom	ID
20	11	1978	20.11.78	João Ferreira	M	Portugal	Portuguese Communist Party	PCP	European United Left-Nordic Green Left Confederal Group	GUE-NGL
10	3	1970	10.03.70	BenoÎt Lutgen	M	Belgium	Humanist Democratic Centre	cdH	European People's Party	EPP
8	3	1977	08.03.77	Gwendoline Delbos-Corfield	F	France	Europe Ecology – The Greens	EELV	Greens-European Free Alliance	Greens-EFA
1	4	1970	01.04.70	Antonio López-Istúriz White	M	Spain	People's Party	PP	European People's Party	EPP
20	7	1976	20.07.76	José Inácio Gusmão	M	Portugal	Left Bloc	BE	European United Left-Nordic Green Left Confederal Group	GUE-NGL
20	1	1981	20.01.81	Kateřina Konečná	F	Czech Republic	Communist Party of Bohemia and Moravia	KSCM	European United Left-Nordic Green Left Confederal Group	GUE-NGL
22	6	1970	22.06.70	Martin Daubney	M	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
30	6	1970	30.06.70	Pablo Arias Echeverría	M	Spain	People's Party	PP	European People's Party	EPP
31	8	1970	31.08.70	Massimo Casanova	M	Italy	League	Lega	Europe of Nations and Freedom	ID
6	9	1970	06.09.70	Kinga Gál	F	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
11	8	1952	11.08.52	Marian-Jean Marinescu	M	Romania	National Liberal Party	PNL	European People's Party	EPP
		1972		Ivars Ijabs	M	Latvia	Independent	Ind	Renew Europe	RE
8	10	1970	08.10.70	Ivo Hristov	M	Bulgaria	Bulgarian Socialist Party	BSP	Progressive Alliance of Socialists and Democrats	SD
12	11	1970	12.11.70	Simona Renata Baldassarre	F	Italy	League	Lega	Europe of Nations and Freedom	ID
27	3	1961	27.03.61	Izaskun Bilbao Barandica	F	Spain	Basque National Party	EAJ-PNV	Renew Europe	RE
	6	1964		Konstantinos Arvanitis	M	Greece	Coalition of the Radical Left	SYRIZA	European United Left-Nordic Green Left Confederal Group	GUE-NGL
28	11	1970	28.11.70	Balázs Hidvéghi	M	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
30	11	1970	30.11.70	André Jorge Dionísio Bradford	M	Portugal	Socialist Party	PS	Progressive Alliance of Socialists and Democrats	SD
3	12	1970	03.12.70	Marianne Vind	F	Denmark	Social Democrats	SD	Progressive Alliance of Socialists and Democrats	SD
27	12	1970	27.12.70	Agnes Evren	F	France	The Republicans	LR	European People's Party	EPP
12	1	1971	12.01.71	David McAllister	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
11	2	1971	11.02.71	Arnaud Danjean	M	France	The Republicans	LR	European People's Party	EPP
2	4	1971	02.04.71	Tiziana Beghin	F	Italy	Five Star Movement	M5S	Europe of Freedom and Direct Democracy Group	EFDD
3	4	1971	03.04.71	Dace Melbārde	F	Latvia	National Alliance	NA	European Conservatives and Reformists Group	ECR
6	4	1971	06.04.71	Stefania Zambelli	F	Italy	League	Lega	Europe of Nations and Freedom	ID
5	5	1971	05.05.71	Jens Peter Gieseke	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
9	5	1971	09.05.71	Tanja Fajon	F	Slovenia	Social Democrats	SD	Progressive Alliance of Socialists and Democrats	SD
26	5	1971	26.05.71	Emil Radev	M	Bulgaria	GERB	GERB	European People's Party	EPP
27	5	1971	27.05.71	Jessica Polfjärd	F	Sweden	Moderate Party	M	European People's Party	EPP
5	7	1984	05.07.84	Jan Huitema	M	Netherlands	People's Party for Freedom and Democracy	VVD	Renew Europe	RE
3	4	1984	03.04.84	Hannah Neumann	F	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
1	9	1971	01.09.71	Daniel Hannan	M	United Kingdom	Conservative	Con	European Conservatives and Reformists Group	ECR
21	2	1978	21.02.78	Jan-Christoph Oetjen	M	Germany	Free Democratic Party	FDP	Renew Europe	RE
27	10	1971	27.10.71	Theodoros Zagorakis	M	Greece	New Democracy	ND	European People's Party	EPP
29	11	1971	29.11.71	Biljana Borzan	F	Croatia	Social Democratic Party	SDP	Progressive Alliance of Socialists and Democrats	SD
27	8	1963	27.08.63	Jane Brophy	F	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
19	8	1947	19.08.47	Javier Nart	M	Spain	Citizens	C's	Renew Europe	RE
14	11	1955	14.11.55	Heidi Hautala	F	Finland	Green League	Vihr	Greens-European Free Alliance	Greens-EFA
30	12	1971	30.12.71	Bartosz Adam Arłukowicz	M	Poland	Civic Platform	PO	European People's Party	EPP
5	10	1982	05.10.82	Leïla Chaibi	F	France	Unsubmissive France	FI	European United Left-Nordic Green Left Confederal Group	GUE-NGL
2	2	1972	02.02.72	Klára Dobrev	F	Hungary	Democratic Coalition	DK	Progressive Alliance of Socialists and Democrats	SD
		1984		Jérémy Décerle	M	France	Independent	Ind	Renew Europe	RE
19	5	1972	19.05.72	Miapetra Kumpula-Natri	F	Finland	Social Democratic Party of Finland	SDP	Progressive Alliance of Socialists and Democrats	SD
1	6	1972	01.06.72	Henna Virkkunen	F	Finland	National Coalition Party	Kok	European People's Party	EPP
3	6	1972	03.06.72	Mara Bizzotto	F	Italy	League	Lega	Europe of Nations and Freedom	ID
5	6	1972	05.06.72	Christine Schneider	F	Germany	Christian Democratic Union	CDU	European People's Party	EPP
14	7	1972	14.07.72	Manfred Weber	M	Germany	Christian Social Union	CSU	European People's Party	EPP
12	12	1969	12.12.69	Jordi Cañas Pérez	M	Spain	Citizens	C's	Renew Europe	RE
20	8	1972	20.08.72	Catherine Griset	F	France	National Rally	RN	Europe of Nations and Freedom	ID
7	9	1972	07.09.72	Ioannis Lagos	M	Greece	Golden Dawn	XA	Non-attached Group	NI
10	11	1972	10.11.72	Ralf Seekatz	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
2	12	1972	02.12.72	András Gyürk	M	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
31	12	1972	31.12.72	Gianna Gancia e Calderoli	F	Italy	League	Lega	Europe of Nations and Freedom	ID
28	2	1973	28.02.73	Niclas Herbst	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
11	3	1973	11.03.73	Massimiliano Salini	M	Italy	Forward Italy	FI	European People's Party	EPP
31	3	1973	31.03.73	Tomasz Piotr Poręba	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
8	4	1973	08.04.73	Marek Balt	M	Poland	Democratic Left Alliance	SLD	Progressive Alliance of Socialists and Democrats	SD
9	4	1973	09.04.73	Andreas Joachim Schwab	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
20	4	1973	20.04.73	Peter Pollák	M	Slovakia	Ordinary People	OLaNO	European People's Party	EPP
22	1	1972	22.01.72	Luke Flanagan	M	Ireland	Independent	Ind	European United Left-Nordic Green Left Confederal Group	GUE-NGL
14	5	1973	14.05.73	Pierfrancesco Majorino	M	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
22	5	1973	22.05.73	Malin Björk	F	Sweden	Left Party	V	European United Left-Nordic Green Left Confederal Group	GUE-NGL
24	6	1973	24.06.73	Alessandra Moretti	F	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
16	11	1970	16.11.70	José Ramón Bauzá Díaz	M	Spain	Citizens	C's	Renew Europe	RE
6	7	1973	06.07.73	Nathan Lee Gill	M	United Kingdom	Brexit Party	BP	Europe of Freedom and Direct Democracy Group	EFDD
12	7	1973	12.07.73	Simona Bonafè	F	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
		1971		Henrike Hahn	F	Germany	Alliance 90/The Greens	Grüne	Greens-European Free Alliance	Greens-EFA
18	9	1973	18.09.73	Dolors Montserrat i Montserrat	F	Spain	People's Party	PP	European People's Party	EPP
1	10	1973	01.10.73	Anne Sander	F	France	The Republicans	LR	European People's Party	EPP
12	10	1973	12.10.73	Georg Mayer	M	Austria	Freedom Party of Austria	FPÖ	Europe of Nations and Freedom	ID
12	10	1973	12.10.73	David Lega	M	Sweden	Christian Democrats	KD	European People's Party	EPP
8	11	1973	08.11.73	Sven Mikser	M	Estonia	Social Democratic Party	SDE	Progressive Alliance of Socialists and Democrats	SD
11	12	1973	11.12.73	Virginie Joron	F	France	National Rally	RN	Europe of Nations and Freedom	ID
16	4	1974	16.04.74	Irene Tinagli	F	Italy	Democratic Party	PD	Progressive Alliance of Socialists and Democrats	SD
				Judith Bunting	F	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
8	6	1974	08.06.74	Simone Schmiedtbauer	F	Austria	Austrian People's Party	ÖVP	European People's Party	EPP
27	6	1974	27.06.74	Krzysztof Andrzej Hetman	M	Poland	Polish People's Party	PSL	European People's Party	EPP
16	8	1974	16.08.74	Tomasz Frankowski	M	Poland	Civic Platform	PO	European People's Party	EPP
		1980		Karen Melchior	F	Denmark	Danish Social Liberal Party	RV	Renew Europe	RE
11	9	1974	11.09.74	Dino Riccardo Maria Giarrusso	M	Italy	Five Star Movement	M5S	Europe of Freedom and Direct Democracy Group	EFDD
12	9	1974	12.09.74	Adam Jerzy Bielan	M	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
6	3	1967	06.03.67	Mihai Tudose	M	Romania	PRO Romania	PRO	Renew Europe	RE
25	9	1974	25.09.74	Pascal Arimont	M	Belgium	Christian Social Party	CSP	European People's Party	EPP
6	10	1974	06.10.74	Lívia Járóka	F	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
22	12	1989	22.12.89	Manon Aubry	F	France	Unsubmissive France	FI	European United Left-Nordic Green Left Confederal Group	GUE-NGL
7	10	1974	07.10.74	Iratxe García Pérez	F	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
8	5	1959	08.05.59	Jill Evans	F	United Kingdom	Plaid Cymru	PlC	Greens-European Free Alliance	Greens-EFA
17	12	1974	17.12.74	Adam Sebastian Jarubas	M	Poland	Polish People's Party	PSL	European People's Party	EPP
23	9	1970	23.09.70	Karin Karlsbro	F	Sweden	Liberals	L	Renew Europe	RE
19	2	1975	19.02.75	Esther de Lange	F	Netherlands	Christian Democratic Appeal	CDA	European People's Party	EPP
1	11	1965	01.11.65	Joxe Pernando Barrena Arza	M	Spain	Basque Country Gather	EH Bildu	Greens-European Free Alliance	Greens-EFA
28	2	1975	28.02.75	István Ujhelyi	M	Hungary	Hungarian Socialist Party	MSzP	Progressive Alliance of Socialists and Democrats	SD
29	6	1988	29.06.88	Katalin Cseh	F	Hungary	Momentum Movement	MM	Renew Europe	RE
11	3	1975	11.03.75	Edina Tóth	F	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
19	3	1975	19.03.75	Günther Sidl	M	Austria	Social Democratic Party of Austria	SPÖ	Progressive Alliance of Socialists and Democrats	SD
20	3	1975	20.03.75	Andżelika Możdżanowska	F	Poland	Law and Justice	PiS	European Conservatives and Reformists Group	ECR
18	4	1975	18.04.75	Konstantinos Papadakis	M	Greece	Communist Party of Greece	KKE	Non-attached Group	NI
8	3	1976	08.03.76	Klemen Grošelj	M	Slovenia	List of Marjan Šarec	LMŠ	Renew Europe	RE
27	5	1975	27.05.75	Vladimír Bilčík	M	Slovakia	TOGETHER - Civic Democracy	SPOLU	European People's Party	EPP
16	6	1975	16.06.75	Jorge Buxadé Villalba	M	Spain	Voice	VOX	European Conservatives and Reformists Group	ECR
28	6	1975	28.06.75	Angelo Ciocca	M	Italy	League	Lega	Europe of Nations and Freedom	ID
1	7	1975	01.07.75	Ádám Kósa	M	Hungary	Fidesz - Hungarian Civic Union	Fidesz	European People's Party	EPP
12	7	1975	12.07.75	Eider Gardiazábal Rubial	F	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
30	3	1986	30.03.86	Manuel Bompard	M	France	Unsubmissive France	FI	European United Left-Nordic Green Left Confederal Group	GUE-NGL
27	7	1975	27.07.75	Cristina Maestre Martín de Almagro	F	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
2	9	1975	02.09.75	Marco Campomenosi	M	Italy	League	Lega	Europe of Nations and Freedom	ID
30	9	1975	30.09.75	Radan Milenov Kanev	M	Bulgaria	Democrats for a Strong Bulgaria	DSB	European People's Party	EPP
24	11	1975	24.11.75	Jiří Pospíšil	M	Czech Republic	TOP 09	TOP 09	European People's Party	EPP
4	12	1975	04.12.75	Csaba Molnár	M	Hungary	Democratic Coalition	DK	Progressive Alliance of Socialists and Democrats	SD
5	12	1975	05.12.75	Ismail Ertug	M	Germany	Social Democratic Party of Germany	SPD	Progressive Alliance of Socialists and Democrats	SD
26	12	1956	26.12.56	Mircea Hava	M	Romania	National Liberal Party	PNL	European People's Party	EPP
3	1	1982	03.01.82	Nicu Ştefănuţă	M	Romania	Save Romania Union	USR	Renew Europe	RE
6	9	1966	06.09.66	Laurence Farreng	F	France	Democratic Movement	MoDem	Renew Europe	RE
21	1	1976	21.01.76	Nicola Procaccini	M	Italy	Brothers of Italy	FdI	European Conservatives and Reformists Group	ECR
30	1	1976	30.01.76	Cindy Franssen	F	Belgium	Christian Democratic and Flemish	CDV	European People's Party	EPP
12	2	1976	12.02.76	Mónica Silvana González González	F	Spain	Spanish Socialist Workers' Party	PSOE	Progressive Alliance of Socialists and Democrats	SD
2	9	1965	02.09.65	Manuel Pineda Marín	M	Spain	Communist Party of Spain	PCE	European United Left-Nordic Green Left Confederal Group	GUE-NGL
				Liesje Schreinemacher	F	Netherlands	People's Party for Freedom and Democracy	VVD	Renew Europe	RE
		1973		Lucy Nethsingha	F	United Kingdom	Liberal Democrat	Lib Dem	Renew Europe	RE
4	4	1976	04.04.76	Daniel Caspary	M	Germany	Christian Democratic Union	CDU	European People's Party	EPP
12	4	1976	12.04.76	Geoffroy Didier	M	France	The Republicans	LR	European People's Party	EPP
13	4	1976	13.04.76	Robert Biedroń	M	Poland	Spring	Spring	Progressive Alliance of Socialists and Democrats	SD
		1967		Luis Garicano	M	Spain	Citizens	C's	Renew Europe	RE
19	5	1976	19.05.76	Miriam Dalli	F	Malta	Labour Party	PL	Progressive Alliance of Socialists and Democrats	SD
22	5	1976	22.05.76	Hildegard Bentele	F	Germany	Christian Democratic Union	CDU	European People's Party	EPP
